Movie,ReleaseYear,Director,Duration,Budget,Gross,UserReviews,CriticReviews,IMDBVotes,IMDBScore,InflationTo2016,BudgetInf,GrossInf
Rapa Nui,1994,Kevin Reynolds,107,20000000,305070,25,9,3843,6.4,1.62,32400000,494213.4
Renaissance Man,1994,Penny Marshall,128,40000000,24332324,61,12,13830,6.1,1.62,64800000,39418364.88
Ri¢hie Ri¢h,1994,Donald Petrie,95,40000000,38087756,39,19,49612,5.2,1.62,64800000,61702164.72
Serial Mom,1994,John Waters,95,13000000,7881335,107,52,21212,6.7,1.62,21060000,12767762.7
Speed,1994,Jan de Bont,116,25000000,121248145,373,114,260981,7.2,1.62,40500000,196421994.9
Star Trek: Generations,1994,David Carson,118,35000000,75668868,249,98,60504,6.6,1.62,56700000,122583566.2
The Client,1994,Joel Schumacher,119,45000000,92115211,94,39,45798,6.7,1.62,72900000,149226641.8
The Crow,1994,Alex Proyas,98,23000000,50693162,545,118,136580,7.6,1.62,37260000,82122922.44
The Flintstones,1994,Brian Levant,91,45000000,130512915,85,35,60884,4.8,1.62,72900000,211430922.3
The Inkwell,1994,Matty Rich,110,8000000,8880705,11,7,1103,6.5,1.62,12960000,14386742.1
The Lion King,1994,Roger Allers,73,45000000,422783777,656,186,644348,8.5,1.62,72900000,684909718.7
The Mask,1994,Chuck Russell,114,18000000,119938730,213,57,265818,6.9,1.62,29160000,194300742.6
The River Wild,1994,Curtis Hanson,111,45000000,46815748,69,42,32544,6.3,1.62,72900000,75841511.76
The Santa Clause,1994,John Pasquin,97,22000000,144833357,111,64,64742,6.4,1.62,35640000,234630038.3
The Shadow,1994,Russell Mulcahy,93,25000000,32055248,146,70,18723,6,1.62,40500000,51929501.76
The Shawshank Redemption,1994,Frank Darabont,142,25000000,28341469,4144,199,1689764,9.3,1.62,40500000,45913179.78
There Goes My Baby,1994,Floyd Mutrux,99,10500000,125169,31,5,859,6.4,1.62,17010000,202773.78
True Lies,1994,James Cameron,141,115000000,146282411,351,94,190439,7.2,1.62,186300000,236977505.8
Wolf,1994,Mike Nichols,125,70000000,65012000,137,59,43559,6.2,1.62,113400000,105319440
Wyatt Earp,1994,Lawrence Kasdan,212,63000000,25052000,145,40,35314,6.6,1.62,102060000,40584240
Ace Ventura: When Nature Calls,1995,Steve Oedekerk,90,30000000,108360000,178,59,160321,6.3,1.57,47100000,170125200
Apollo 13,1995,Ron Howard,140,62000000,172071312,296,159,208817,7.6,1.57,97340000,270151959.8
Bad Boys,1995,Michael Bay,119,19000000,65807024,203,63,172405,6.8,1.57,29830000,103317027.7
Batman Forever,1995,Joel Schumacher,121,100000000,184031112,539,144,190786,5.4,1.57,157000000,288928845.8
Before Sunrise,1995,Richard Linklater,105,2500000,5400000,395,121,183288,8.1,1.57,3925000,8478000
Braveheart,1995,Mel Gibson,178,72000000,75600000,1065,132,736638,8.4,1.57,113040000,118692000
Casino,1995,Martin Scorsese,178,52000000,42438300,533,133,333542,8.2,1.57,81640000,66628131
Casper,1995,Brad Silberling,100,50000000,100328194,92,26,85903,6,1.57,78500000,157515264.6
Clueless,1995,Amy Heckerling,97,12000000,56631572,248,88,123390,6.8,1.57,18840000,88911568.04
Congo,1995,Frank Marshall,109,50000000,81022333,147,55,34471,5,1.57,78500000,127205062.8
Copycat,1995,Jon Amiel,123,20000000,32051917,140,57,42315,6.6,1.57,31400000,50321509.69
Crimson Tide,1995,Tony Scott,123,53000000,91400000,194,82,81026,7.3,1.57,83210000,143498000
Cutthroat Island,1995,Renny Harlin,124,98000000,11000000,169,61,21102,5.6,1.57,153860000,17270000
Desperado,1995,Robert Rodriguez,104,7000000,25625110,202,93,138707,7.2,1.57,10990000,40231422.7
Die Hard with a Vengeance,1995,John McTiernan,128,90000000,100012500,346,148,299258,7.6,1.57,141300000,157019625
First Knight,1995,Jerry Zucker,134,55000000,37600435,180,53,55350,5.9,1.57,86350000,59032682.95
Four Rooms,1995,Allison Anders,110,4000000,4301331,177,51,78241,6.7,1.57,6280000,6753089.67
Friday,1995,F. Gary Gray,97,3500000,27900000,157,20,74626,7.3,1.57,5495000,43803000
Get Shorty,1995,Barry Sonnenfeld,105,30250000,72077000,150,96,62986,6.9,1.57,47492500,113160890
Hackers,1995,Iain Softley,107,20000000,7564000,223,79,54650,6.2,1.57,31400000,11875480
Halloween: The Curse of Michael Myers,1995,Joe Chappelle,93,5000000,15126948,335,123,20815,4.9,1.57,7850000,23749308.36
Home for the Holidays,1995,Jodie Foster,103,20000000,17518220,76,45,9105,6.6,1.57,31400000,27503605.4
Jade,1995,William Friedkin,107,50000000,9795017,70,50,9227,5.1,1.57,78500000,15378176.69
Kids,1995,Larry Clark,91,1500000,7417210,408,71,59041,7,1.57,2355000,11645019.7
Kiss of Death,1995,Barbet Schroeder,101,40000000,14942422,60,40,14226,5.9,1.57,62800000,23459602.54
Leaving Las Vegas,1995,Mike Figgis,111,3600000,31968347,286,123,93894,7.6,1.57,5652000,50190304.79
Mallrats,1995,Kevin Smith,123,6000000,2122561,434,93,99033,7.2,1.57,9420000,3332420.77
