group,IDNR,sex,grade,age,a1.1,a1.2,a1.3,a1.4,a1.5,a1.6,a1.7,a1.8,a1.9,a1.10,a1.11,a1.12,a1.13,a1.14,a1.15,a1.16
1,865,3,4,13,0,1,1,1,-9,1,-9,-9,1,-9,0,-9,-9,-9,-9,-9
1,405,1,6,16,1,0,1,1,0,0,0,1,1,-9,-9,0,-9,-9,-9,-9
1,386,1,6,16,1,-9,1,1,1,1,1,0,1,1,1,0,-9,-9,-9,-9
1,455,2,5,12,1,-9,1,1,-9,1,1,1,1,-9,-9,0,-9,-9,-9,-9
1,6,2,6,15,1,1,1,1,1,1,1,1,1,1,1,0,1,-9,-9,-9
1,580,2,5,14,1,1,1,1,1,0,1,0,1,-9,-9,-9,-9,-9,-9,-9
1,627,2,5,16,0,0,1,1,-9,1,1,1,1,-9,-9,-9,-9,-9,-9,-9
1,509,1,5,13,1,1,1,1,1,1,1,0,1,0,0,-9,-9,-9,-9,-9
1,450,2,5,12,1,-9,1,0,-9,1,1,0,1,-9,-9,-9,-9,-9,-9,-9
1,474,1,5,13,-9,0,0,1,0,1,1,0,1,0,0,0,-9,0,-9,-9
1,794,2,4,12,1,1,1,1,1,1,1,0,1,-9,-9,0,-9,0,-9,-9
1,86,1,6,13,1,1,1,1,1,1,1,1,1,0,0,0,1,0,-9,-9
1,128,2,6,13,-9,-9,1,1,-9,1,1,0,1,-9,-9,0,-9,-9,-9,-9
1,23,2,6,14,1,-9,1,0,-9,0,1,0,1,0,-9,0,-9,-9,-9,-9
1,217,2,6,14,1,1,1,1,-9,1,1,1,1,0,-9,-9,-9,-9,-9,-9
1,747,1,4,12,1,1,1,1,1,1,1,0,1,0,1,0,-9,-9,-9,-9
1,858,2,4,13,1,1,1,1,1,0,1,1,1,1,-9,-9,-9,-9,-9,-9
1,741,2,4,12,1,1,1,1,-9,-9,1,1,1,0,1,1,-9,-9,-9,-9
1,745,1,4,12,1,-9,1,1,1,1,1,1,1,-9,1,-9,-9,-9,-9,-9
1,691,1,4,11,1,1,1,1,-9,0,1,1,1,1,-9,0,-9,0,0,-9
1,863,2,4,13,1,1,1,1,1,0,0,1,1,0,0,0,-9,0,-9,-9
1,855,1,4,13,1,1,1,1,1,1,1,0,1,0,0,0,-9,-9,-9,-9
1,650,1,4,11,1,1,1,1,0,1,0,0,1,-9,1,-9,-9,0,-9,-9
1,820,1,4,13,1,1,1,1,1,1,1,1,1,0,-9,-9,-9,-9,-9,-9
1,883,1,4,14,1,1,1,1,0,0,0,0,0,-9,-9,-9,-9,-9,-9,-9
1,616,2,5,15,0,0,0,1,0,1,1,0,0,-9,-9,-9,-9,-9,-9,-9
1,686,1,4,11,-9,-9,1,1,-9,0,-9,-9,0,-9,0,-9,-9,-9,-9,-9
1,662,2,4,13,-9,-9,1,1,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9
1,513,2,5,13,1,-9,1,1,-9,1,-9,0,-9,-9,-9,-9,-9,-9,-9,-9
1,548,2,5,13,1,-9,1,1,-9,1,1,1,-9,-9,1,-9,-9,-9,-9,-9
1,578,2,5,14,1,1,1,1,0,1,0,0,-9,-9,-9,-9,-9,-9,-9,-9
1,791,2,4,12,1,0,0,1,1,1,-9,0,-9,-9,-9,-9,-9,-9,-9,-9
