ID,Sex,Age,Education,Condition,GasBenefits,GasRisks,GasAccidents,GasControl,PresBenefits,PresRisks,PresAccidents,PresControl,NuclearBenefits,NuclearRisks,NuclearAccidents,NuclearControl,GasBenefitsPost,GasRisksPost,GasAccidentsPost,GasControlPost,PresBenefitsPost,PresRisksPost,PresAccidentsPost,PresControlPost,NuclearBenefitsPost,NuclearRisksPost,NuclearAccidentsPost,NuclearControlPost
211,F,21,4,LB,7,3,4,2,3,8,7,4,1,10,8,1,5,5,7,4,5,8,7,3,3,10,9,1
229,F,20,3,LB,8,4,3,5,7,5,3,8,6,8,9,2,6,3,6,7,8,2,2,8,5,7,7,6
235,F,19,2,LB,5,4,6,2,8,3,3,2,1,10,9,3,8,5,7,4,8,5,7,2,1,10,8,4
239,F,24,4,LB,8,6,6,7,3,10,10,10,5,10,8,1,9,2,2,2,2,10,10,10,3,4,5,1
242,M,21,3,LB,8,3,4,7,4,9,2,7,9,9,8,7,8,4,6,7,3,8,2,2,7,9,9,3
247,F,31,2,LB,8,5,5,7,7,6,3,4,2,10,10,1,8,5,5,7,7,6,3,4,2,10,10,1
249,F,18,1,LB,8,6,7,5,3,3,2,1,2,10,7,6,8,7,8,3,3,6,4,1,5,10,9,5
253,F,19,3,LB,6,9,9,3,2,7,3,8,2,9,9,5,6,9,9,3,2,7,3,8,2,9,9,5
254,F,21,3,LB,9,7,5,5,2,10,7,3,2,10,10,8,9,5,7,6,3,10,9,9,1,10,10,9
262,F,21,4,LB,10,3,5,8,1,7,3,5,5,5,7,4,2,7,6,4,5,5,3,4,3,7,9,3
263,F,19,2,LB,5,6,6,5,2,6,6,4,1,10,10,6,6,6,6,3,1,5,5,7,1,10,10,3
265,M,23,3,LB,6,4,5,7,5,3,2,9,10,9,6,4,5,4,4,8,5,4,2,9,9,10,6,2
271,M,20,3,LB,9,5,5,9,7,4,4,7,7,10,9,3,7,8,8,4,4,4,3,5,7,9,9,3
280,F,21,4,LB,9,5,3,6,5,5,1,1,3,8,8,1,8,6,8,1,5,3,1,1,5,8,8,1
1,F,21,4,LR,5,5,5,5,1,10,10,1,1,10,10,1,5,5,5,5,1,10,10,1,1,10,10,1
16,F,20,3,LR,8,5,3,7,6,9,7,8,9,10,9,6,8,4,4,9,6,8,7,7,9,9,9,6
18,M,19,2,LR,9,5,3,8,8,4,3,9,8,4,6,8,8,3,5,8,7,4,4,8,7,5,5,8
19,M,18,1,LR,7,3,3,5,9,5,4,4,7,6,5,5,8,1,2,5,8,3,2,4,8,5,3,5
