ID,VaccEndorse,PreferCAM,SpiritKnow,StrongFaith,NoRelig,CRT,Openness
1104,3,1,2,0,0,0,9
1107,3,1,5,1,0,1,11
1108,3,3,6,1,0,1,14
1109,3,1,3,0,0,0,8
1110,3,5,1,1,0,0,7
1116,3,7,3,1,0,0,8
1117,3,1,5,0,0,0,12
1119,3,1,4,1,0,1,10
1120,3,2,4,1,0,0,14
1121,3,4,4,1,0,1,12
1123,3,3,3,1,0,0,10
1124,3,7,3,1,0,0,12
1125,3,1,6,1,0,2,8
1129,3,1,2,1,0,0,9
1130,3,5,3,0,0,0,9
1137,3,1,5,0,0,0,13
1138,3,2,1,0,0,0,8
1140,3,1,1,0,0,0,11
1141,3,1,2,0,0,0,8
1143,3,4,2,1,0,2,14
1145,3,1,2,0,0,0,14
1149,3,1,6,0,0,1,12
1151,3,2,3,0,0,0,12
1152,3,7,7,0,0,0,14
1153,3,3,5,1,0,1,8
1155,3,1,4,0,0,0,11
1156,3,1,1,0,0,1,13
1159,3,3,4,0,0,0,7
1161,3,1,1,1,0,0,13
1164,3,4,5,0,0,0,12
1165,3,5,5,0,0,2,14
1166,3,3,1,0,0,1,11
1168,3,3,1,1,0,0,12
1169,3,1,2,0,0,2,6
1170,3,4,6,0,0,0,11
1174,3,1,7,0,0,3,14
1175,3,1,3,1,0,0,10
1177,3,6,7,0,0,1,14
1180,3,5,5,0,0,0,13
1183,3,5,5,0,0,0,12
1191,3,1,1,1,0,1,13
1192,3,4,4,0,0,0,11
1193,3,1,7,1,0,0,12
1194,3,1,7,1,0,0,10
1195,3,1,1,0,0,0,8
1208,3,5,7,0,0,0,11
1209,3,3,2,0,0,0,7
1220,3,7,5,0,0,0,14
1223,3,1,7,1,0,1,14
1224,3,1,4,0,0,1,14
1228,3,2,7,1,0,2,11
1231,3,1,1,0,0,0,8
1232,3,1,6,0,0,0,10
1233,3,6,3,0,0,0,14
1239,3,7,2,1,0,0,12
1240,3,1,6,0,0,1,13
1241,3,1,2,0,0,2,11
1242,3,1,7,0,0,0,10
1244,3,1,1,0,0,3,12
1245,3,1,1,1,0,0,14
1247,3,1,6,1,0,0,14
1250,3,2,4,0,0,0,12
1253,3,1,5,1,0,0,14
1254,3,3,3,0,0,1,10
1255,3,1,7,1,0,0,14
1256,3,3,6,0,0,1,11
