Subject,Change,Ndist,Correct,Reaction,MMI
5,1,2,1,785,2.222222222
5,1,4,1,834,2.222222222
5,1,4,0,737,2.222222222
5,1,2,0,768,2.222222222
5,0,2,1,705,2.222222222
5,0,2,1,778,2.222222222
5,0,6,0,705,2.222222222
5,0,4,1,706,2.222222222
5,1,0,1,984,2.222222222
5,0,0,1,577,2.222222222
5,1,6,0,959,2.222222222
5,0,4,1,528,2.222222222
5,1,6,1,911,2.222222222
5,1,0,0,840,2.222222222
5,1,2,0,881,2.222222222
5,0,4,1,903,2.222222222
5,1,6,1,839,2.222222222
5,0,6,1,1328,2.222222222
5,0,0,1,752,2.222222222
5,0,4,1,680,2.222222222
5,1,0,1,888,2.222222222
5,1,0,1,872,2.222222222
5,1,4,1,824,2.222222222
5,0,2,1,672,2.222222222
5,0,0,1,679,2.222222222
5,0,6,0,848,2.222222222
