Subject,Session,Trial,Accuracy,Target,Distractor,Pair,Distance,JointRank
1,2,48,1,3,6,18,3,9
1,2,49,1,3,7,19,4,10
1,2,50,1,2,4,10,2,6
1,2,51,1,1,5,4,4,6
1,2,52,1,2,9,15,7,11
1,2,53,0,1,3,2,2,4
1,2,54,0,3,4,16,1,7
1,2,55,1,3,5,17,2,8
1,2,56,1,4,7,24,3,11
1,2,57,1,1,8,7,7,9
1,2,58,0,7,9,35,2,16
1,2,59,1,7,8,34,1,15
1,2,60,1,1,7,6,6,8
1,2,61,1,1,2,1,1,3
1,2,62,0,6,7,31,1,13
1,2,63,1,2,3,9,1,5
1,2,64,0,6,9,33,3,15
1,2,65,1,2,6,12,4,8
1,2,66,1,4,9,26,5,13
1,2,67,1,1,6,5,5,7
1,2,68,1,2,5,11,3,7
1,2,69,0,5,7,28,2,12
1,2,70,1,4,6,23,2,10
1,2,71,0,8,9,36,1,17
1,2,72,1,3,9,21,6,12
1,2,73,1,3,4,16,1,7
1,2,74,1,1,7,6,6,8
1,2,75,1,1,3,2,2,4
1,2,76,0,2,3,9,1,5
1,2,77,1,1,6,5,5,7
1,2,78,1,4,7,24,3,11
1,2,79,1,3,9,21,6,12
1,2,80,1,2,6,12,4,8
1,2,81,1,5,7,28,2,12
1,2,82,1,7,8,34,1,15
1,2,83,0,6,7,31,1,13
1,2,84,0,6,8,32,2,14
1,2,85,1,1,9,8,8,10
1,2,86,1,2,7,13,5,9
1,2,87,1,2,4,10,2,6
